URL;Title;H1;Description;Products Quantity;Prod Quantity over 40;Status code
https://kasta.ua/market/udobreniya-i-grunt/;⋆ ДОБРИВА І ГРУНТ ДЛЯ САДУ, ГОРОДУ ‣ купити добрива, грунт недорого в Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Добрива і грунт для саду, городу;Інтернет-магазин Kasta! ⊳ ДОБРИВА І ГРУНТ ДЛЯ САДУ, ГОРОДУ ⊲ Знижки на добрива і грунт в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;264;True;200
https://kasta.ua/market/semena-rasteniy/;⋆ СЕМЕНА РОСЛИН ‣ купити насіння на розсаду недорого у Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Насіння рослин;Інтернет-магазин Kasta! ⊳ СЕМЕНА РОСЛИН ⊲ Знижки на насіння рослин в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;48;False;200
https://kasta.ua/market/sadovyy-inventar/;⋆ САДОВИЙ ІНВЕНТАР ‣ купити садовий інструмент в інтернет магазині Kasta ᐈ Доставка в Київ, Харків, Одесу і по всій Україні;Садовий інвентар і інструменти;Садовий інвентар в каталозі Kasta ➤ Примірка і Легке повернення ➤ ТУТ ВИГІДНО: ⋆Акціі і знижки ⋆Центри видачі товару ⋆Доставка ⋆ Великий вибір;240;True;200
https://kasta.ua/market/ulichnye-svetilniki/;Вуличні світильники - Купити освітлення садове в Києві, Україні | Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Вуличне освітлення: садові світильники, ліхтарі, прожектори;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: Купити 【Вуличне освітлення】 для будинку, саду, ділянки в Інтернет-магазині ➤ Світлодіодні світильники ✪ Ліхтарі ✪ Прожектори ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса;744;True;200
https://kasta.ua/market/korm-dlya-zhivotnyh/;⋆ КОРМИ для тварин ‣ купити корм для тварин недорого в Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Корм для тварин;Інтернет-магазин Kasta! ⊳ корми для тварин ⊲ Знижки на корм для тварин в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;96;True;200
https://kasta.ua/market/vitaminy-dlya-zhivotnyh/;⋆ ВІТАМІНИ ДЛЯ ТВАРИН ‣ купити вітаміни для тварин недорого в Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Вітаміни для тварин;Інтернет-магазин Kasta! ⊳ ВІТАМІНИ ДЛЯ ТВАРИН ⊲ Знижки на вітаміни для тварин в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;72;True;200
https://kasta.ua/market/tovary-dlya-uhoda-za-domashnimi-zhivotnymi/;⋆ ТОВАРИ ДЛЯ ДОГЛЯДУ ЗА ДОМАШНІМИ ТВАРИНАМИ ‣ купити недорого в Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Товари для догляду за домашніми тваринами;Інтернет-магазин Kasta! ⊳ ТОВАРИ ДЛЯ ДОГЛЯДУ ЗА ДОМАШНІМИ ТВАРИНАМИ ⊲ Знижки на товари для догляду за домашніми тваринами в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;96;True;200
https://kasta.ua/market/posuda-dlya-zhivotnyh/;⋆ ПОСУД ДЛЯ ТВАРИН ‣ купити посуд для тварин недорого у Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Посуд для тварин;Інтернет-магазин Kasta! ⊳ ПОСУД ДЛЯ ТВАРИН ⊲ Знижки на посуд для тварин в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;48;True;200
https://kasta.ua/market/aksessuary-dlya-zhivotnyh/;⋆ АКСЕСУАРИ ДЛЯ ТВАРИН ‣ купити аксесуари для тварин недорого в Києві, Харкові, Одесі - інтернет-магазин України - Kasta;Аксесуари для тварин;Інтернет-магазин Kasta! ⊳ АКСЕСУАРИ ДЛЯ ТВАРИН ⊲ Знижки на аксесуари для тварин в каталозі Kasta -[100% орігінал=- Щоденні розпродажі та знижки! Доставка по всій Україні!;816;True;200
https://kasta.ua/market/zootovary-koshkam/;Товари для КОТІВ • Купити товари для догляду за котами з доставка по Україні • Інтернет-магазин Kasta;Зоотовари, кішкам;Зоотовари кішкам на Kasta! ➤ Великий вибір за найкращою ціною! Безкоштовна доставка і миттєве повернення!;312;True;200
https://kasta.ua/market/zootovary-dlya-sobak/;Товари для СОБАК • Купити товари для догляду за собаками з доставкою по Україні • Інтернет-магазин Kasta;Товари для собак;Зоотовари собакам на Kasta! ➤ Великий вибір за найкращою ціною! Безкоштовна доставка і миттєве повернення!;792;True;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/greycolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;288;True;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/whitecolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;216;True;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/varicoloured/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;96;True;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/beigecolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;True;200
https://kasta.ua/market/aksessuary-dlya-vannoy/color/browncolor/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;True;200
